	Mass	Charge	Abundance	Base Peak	Interval	Correlation	Ions	PPMError	Shift	TheorMass	Mono m/z	m/z	Intensity	resolution	Slope	Intercept	RSquare	Ratio	FWHM	FWHM Coeff
0	375.2128	1	10553668	376.2201	376.1078-378.3373	0.9847	z3	-8.016520190449722	0	375.2158079251	376.2200764666	376.22010332007403	16653392.0	237150.421875	-0.8041762391229962	2.763224440819247	-0.9494196525056164	1.5585626681082763	0.0015864197092526214	1.2056894207602615
1	392.2391	1	11544324	393.2464	393.1410-395.3553	0.9991	y3	-8.303592770519144	0	392.24235702080006	393.2463764666	393.24646362588464	15933520.0	235746.125	-0.9359722331685482	2.8161136659363586	-0.9611838537263572	1.7950091338340581	0.0016680930116068065	1.1927404466600842
2	407.1845	1	54071820	408.1918	408.0689-410.3110	0.9997	b3	-8.297533588695375	0	407.18787865510006	408.1917764666	408.19179258512725	93409408.0	228936.15625	-0.5605934620398757	4.3177371569729415	-0.996490727563461	1.5242905742846786	0.001782993998289107	1.2012433264531823
3	506.2517	1	26148232	507.259	507.1529-509.3817	0.9977	b4	-9.072365645723076	0	506.25629294220005	507.2589764666	507.25894125960144	50179676.0	202683.46875	-0.5599911887431165	3.7139840464739042	-0.9901995738586027	1.530346372172473	0.00250271491990933	1.2117975275080277
4	520.3324	1	4851103	521.3397	521.2265-523.4526	0.9853	y4	-9.456180456652403	0	520.3373204036001	521.3396764666	521.3396703824407	8303424.0	195806.40625	-0.6883268508814164	2.0592479075069345	-0.6845253635503916	2.2403455771396925	0.0026625261163151586	1.2287368138922632
5	591.3396	1	5456206	592.3469	592.2294-595.4620	0.9806	a5	-9.87966200836853	0	591.3454422931001	592.3468764666001	592.3471534398079	5468366.5	185068.9375	-1.8711975662586375	2.3767786974129432	-0.9416473597515832	1.347993385104829	0.0032006838178330597	1.2226362631831997
6	619.3342	1	12747006	620.3416	620.2369-623.4562	0.9776	b5	-9.941695269070967	0	619.3403572931	620.3414764666	620.3416476895846	20826500.0	180402.65625	-0.5350883540520318	2.8188933897944994	-0.9112429080358808	1.7045816828953344	0.0034386502980860885	1.2246276320172895
7	1314.768	2	6102721	658.3913	658.2798-660.5464	0.9997	y11	-10.064224735918302	0	1314.7812322538	658.3912764666001	658.3915806723546	9412376.0	179335.9375	-0.8981620230283323	2.3171365551916123	-0.8797726718792758	2.057852516934837	0.0036712752047946585	1.205317465363985
8	2264.2129	3	68522104	755.7451	755.6362-758.8579	0.9708	y20	-10.100654622971	0	2264.2357702635004	755.7449097999333	755.7448036422755	195758016.0	169221.515625	-0.9608436015461129	5.362706689660715	-0.9968843618195811	2.040732387805149	0.00446600895194101	1.1965751345862938
9	764.4506	1	38242328	765.4579	765.3323-768.5776	0.9991	y6	-10.33269171745375	0	764.4584989140001	765.4578764666	765.457929613684	73453592.0	166435.828125	-0.5869113984939989	4.100663224075874	-0.991162844267818	1.5679464765256916	0.004599117499140836	1.204748083257659
10	4641.4848	6	78887152	774.9223	774.4606-776.2058	0.9695	b41	-10.382476651105803	0	4641.5329906079005	774.5880764666001	774.5881239992984	106984360.0	165449.234375	-2.2362937619145526	5.626985669605117	-0.9973003909225148	5.361894536997934	0.004681726856732687	1.2047601641762162
11	782.3956	1	6288328	783.403	783.3005-786.5212	0.9254	b6	-10.335559940276076	0	782.4036865802001	783.4028764666	783.4028866559386	7055564.5	160103.21875	-1.102237584910922	2.123880222250248	-0.8621674403855993	1.6931973670488054	0.004893111411327816	1.2267922064499066
12	1606.8716	2	23002954	804.9443	804.3171-807.0781	0.9713	y13	-9.680682395223135	0	1606.8871557641999	804.4430764666	804.4424732047268	40408448.0	162714.859375	-0.762030516226367	3.636720986405016	-0.9667898400577829	1.8378622173552879	0.004943878366700194	1.2029548656820332
13	4869.5782	6	17888540	813.1049	812.4850-814.2133	0.9585	b43	-9.86520236551075	0	4869.6262398483	812.6036431332667	812.6031872563707	29025812.0	149773.671875	-1.8480679234704926	4.0427212499890715	-0.9800022529904723	3.6522048440480432	0.00542554093175043	1.2670097507402558
14	1705.9376	2	9119677	853.9763	853.8735-856.5865	0.9062	y14	-10.53371589250306	0	1705.9555700513001	853.9760764666	853.9762016796569	17947420.0	161791.109375	-0.6782396041491816	2.7649558498751023	-0.926353056760034	1.5231730583290477	0.005278264083722351	1.183710648748654
15	2565.3026	3	23013614	856.4424	855.9277-858.2133	0.9399	y23	-9.422870512072599	0	2565.3267727420007	856.1081431332667	856.1070646009484	34565532.0	157618.390625	-1.1817362532154687	3.7863930048785654	-0.9823026275442542	2.275444904187807	0.005431517611658449	1.2035084144890733
16	1762.9581	2	33223994	882.4865	882.3552-885.6122	0.9568	y15	-10.739871611186489	0	1762.9770341470003	882.4863264666001	882.4864452422173	156777920.0	154126.453125	-0.7428880590348264	4.972226481965196	-0.9949581843737478	1.7487811506967772	0.005725729927272777	1.2093186556297508
17	892.5438	1	29764332	893.5511	893.4386-896.6669	0.9863	y7	-10.825454393792558	0	892.5534622968001	893.5510764666001	893.5511624062566	33279382.0	154780.546875	-0.825269308525991	3.4721708280395216	-0.9710092769702984	1.602210938304998	0.005773019804148153	1.2009103630519387
18	1833.9939	2	69058200	918.0044	917.8939-920.6226	0.9908	y16	-11.040430914289296	0	1834.0141483065001	918.0042264666	918.0044439221722	155527952.0	151433.375	-0.6105701544307476	4.870002661843308	-0.9985092952592908	1.6494375180821128	0.006062101197455133	1.207620772580286
19	4641.483	5	787213824	929.705	929.1411-931.2147	0.9808	b41	-10.770279560973123	0	4641.5329906079005	929.3038764666001	929.303672064679	873472384.0	148684.796875	-1.5339922278234976	7.246468808947924	-0.9991035625312056	3.364812667991145	0.006250159341078758	1.2174807193013109
20	4738.5363	5	106637944	949.1156	948.6022-950.6429	0.9714	b42	-10.436622604201634	0	4738.585754831201	948.7145364666	948.7143235307005	88912688.0	150799.59375	-1.7290885096654902	5.102293015912769	-0.9979370360011468	3.336330087051753	0.0062912259903266515	1.197788748999712
21	1905.0302	2	106849040	953.5225	953.3828-956.1370	0.9909	y17	-11.056115084832982	0	1905.0512624660003	953.5223764666	953.5223953035892	306593888.0	148741.5	-0.7453201526920163	5.650051016600087	-0.9982087824854379	1.724119473701538	0.006410600910328248	1.2067756769415978
22	4841.5819	5	36757356	969.7247	969.2137-971.2294	0.9209	a43	-10.208304801404106	0	4841.6313248483	969.3236564666	969.323188494875	71193672.0	150303.703125	-1.2485848398441721	4.560005926088073	-0.992237207845144	2.612870568936248	0.006449097183512091	1.1918514362091361
23	4869.5748	5	502523552	975.3233	974.7959-976.8544	0.9785	b43	-10.563407901652102	0	4869.6262398483	974.9222364666001	974.9217112833211	874706048.0	146397.140625	-1.6012607801554004	7.300542290334213	-0.9995914869760029	3.2809543162457975	0.006659431373599077	1.210632157967773
24	3973.0945	4	16770083	994.7823	994.1693-996.4427	0.9128	b34	-10.45243575795611	0	3973.1360289491004	994.2809014666001	994.2807196092353	5655415.0	144041.453125	-1.4248520634098463	2.144514833845766	-0.9496328168903903	1.3631618882003023	0.00690274013513591	1.2157981415635981
25	2004.0988	2	51575624	1003.558	1002.9369-1005.6763	0.99	y18	-10.416919379737728	0	2004.1196767531	1003.0566764666	1003.0561179959788	140019440.0	144938.09375	-0.7811600454311174	4.883715055182855	-0.9936205276949939	1.8323273086805465	0.006920583071322329	1.2072372534930498
26	5037.6631	5	151065040	1009.1414	1008.3964-1010.4470	0.9915	b45	-10.524259377880915	0	5037.7161182311	1008.5398964666	1008.5394540634154	409434880.0	143616.421875	-1.4551864430456676	6.440849134444657	-0.9995866841312873	3.0966098658057812	0.00702245217431487	1.212426109584525
27	1078.6416	1	24615538	1079.6489	1079.4814-1082.7698	0.9864	y9	-11.408426126765097	0	1078.6539057434	1079.6488764665999	1079.6492886863198	50631884.0	137332.296875	-0.6568284041531217	3.789820875569831	-0.9941431037069925	1.7138913026861538	0.007861583278323946	1.2210769160909039
28	2167.1589	2	24962752	1084.5869	1084.4838-1087.7037	0.9454	y19	-11.123213929435513	0	2167.1830060402003	1084.5867264665999	1084.5867173254655	62859224.0	141988.515625	-0.8143802642500798	4.123722660387827	-0.9919534843318653	1.917738870589757	0.0076385524037023015	1.192421060867224
29	1096.5146	1	6097374	1097.522	1097.4166-1101.6477	0.993	b9	-10.691174623597695	0	1096.5263231544002	1097.5218764666	1097.5206086806465	8999422.0	129879.578125	-0.6008278476454063	1.9935000764022415	-0.5175064203248514	1.7549522182452628	0.008450293914755096	1.2604302366690685
30	5567.8513	5	82866288	1114.9786	1114.4756-1116.7111	0.9422	b50	-11.14927332436432	0	5567.9133781881	1114.5775364666	1114.5772376912387	199494800.0	134273.34375	-1.6193602940332383	5.830292591046208	-0.997761550044085	3.6332090817409917	0.008300807938219225	1.2264623234778176
31	2264.2108	2	355433920	1133.614	1132.9979-1136.2267	0.9911	y20	-11.02811987536854	0	2264.2357702635004	1133.1126764665999	1133.1119239240943	839877056.0	136411.71875	-0.8126127151322378	6.708887328906222	-0.9997188388303782	1.8591227766833598	0.008306558514966988	1.2069577285226705
32	1177.7086	1	15146824	1178.7159	1178.5887-1182.8717	0.991	y10	-11.649631043502692	0	1177.7223200305	1178.7158764665999	1178.7158904740816	19621102.0	128614.9296875	-0.5894807772228597	2.7809628291690176	-0.817468327590726	1.553008565314862	0.009164689459754377	1.2388459390384234
33	2450.2721	2	67123304	1226.6447	1226.0203-1229.2922	0.9787	y22	-11.316403885356056	0	2450.2998285825006	1226.1433264666	1226.142796656034	186290064.0	132118.015625	-0.8847360497616472	5.241134911066102	-0.996238197237573	1.9318909639533337	0.0092806631317888	1.200952585829086
34	5037.6574	4	45054260	1260.923	1260.2836-1263.0322	0.9783	b45	-11.655724483482677	0	5037.7161182311	1260.4216264666	1260.4215591285704	63043004.0	125860.046875	-1.2661433356852658	4.454766730589218	-0.9880116151929282	2.9223830242324396	0.010014469169714985	1.2290838240400666
35	2565.2974	2	96209048	1284.1573	1283.5281-1286.7676	0.9979	y23	-11.449902723060992	0	2565.3267727420007	1283.6559764666	1283.65509898762	366480064.0	128063.4609375	-0.6983352567931174	5.797887444643206	-0.9989813897874581	1.6994634617870439	0.010023585881488039	1.2075702468462755
36	1314.765	1	12271683	1315.7723	1315.6715-1319.9198	0.9959	y11	-12.345973156365751	0	1314.7812322538	1315.7722764666	1315.7728366588863	31033306.0	129880.5546875	-0.5008656259523385	3.1913077945375186	-0.9419831371335102	1.3766811215026933	0.010130637644909282	1.1864660278314065
37	2636.3333	2	98341736	1319.6753	1319.0529-1322.2843	0.9968	y24	-11.601927053005893	0	2636.363886901501	1319.1739264665998	1319.1730002873912	470556896.0	128531.890625	-0.7213144207232537	6.0555099170546764	-0.9979695283588083	1.7262459761589746	0.01026339061747845	1.1937227682368916
38	5567.8458	4	44681820	1393.4701	1392.8295-1395.5924	0.9863	b50	-12.137076048048359	0	5567.9133781881	1392.9687264666	1392.967779527583	136740544.0	123947.0859375	-1.0949427952878996	5.103223214568125	-0.9899940533897941	2.3856260799646134	0.011238406849112882	1.2009846615687325
