	index	m/z	Intensity	resolution	Slope	Intercept	RSquare	Ratio
0	896	254.14875409684907	17692112.0	298312.4	-1.399724554571279	3.262338484494775	-0.9888887470900233	1.9710533380439423
1	1548	257.15957852827813	6282409.0	295622.44	-1.3466171591070277	2.124020326540112	-0.8538781066837634	1.1301578742815734
2	1743	258.1436128372727	12189060.0	272314.22	-1.6925946832953935	3.07060841093047	-0.9678368906264015	2.2852540040882907
3	1938	259.0912924141277	5993993.5	262751.25	-0.4882065056172102	1.6495774606016393	-0.28354045708807135	2.0473499268026645
4	2342	261.08914365507917	5480421.0	298254.84	-1.1581445645871882	1.9700387425699655	-0.6843975233041623	2.364383607261039
5	3619	267.6406078349331	5809913.5	200572.12	-0.9094262952820621	1.7577727844665105	-0.3574081275108611	1.9538820033873063
6	3725	268.16423081394316	13098199.0	283698.78	-1.4351856434806998	3.001623411262083	-0.8701240212688006	1.9375207347642307
7	4115	270.1434676755882	8022512.0	280235.2	-1.4771885947814014	2.585221985219714	-0.8431724123986071	2.2942547535409474
8	4124	270.17998266308587	35696240.0	287309.22	-1.3322022228718444	3.887443735724193	-0.9918798297205785	2.1150346616012334
9	4299	271.13883170454744	10570756.0	284938.7	-1.36174790762578	2.7617754363279468	-0.8355475830786282	2.4800601597874286
10	4308	271.17519809698115	5291929.5	252952.3	-1.9530714234058835	2.5477638857499905	-0.8678637432108359	3.634690332477292
11	4478	272.1050237308017	42435056.0	280611.2	-1.2565271393737332	4.0314652774526625	-0.9965861934343246	2.598616702419536
12	4486	272.1591901711421	6753732.5	228495.77	-1.769446448178906	2.5323764458364266	-0.8863450002903482	2.2766980310311173
13	4567	272.6505101831631	5587907.5	240557.1	-1.3352339271714462	1.9987027317549413	-0.5704124814886976	1.0542543508438174
14	4569	272.6538238584628	5822289.5	210800.0	0.5713967589817371	0.5977329316094114	0.3164587931427115	0.7230402235348384
15	4665	273.1255333746615	5556710.0	281053.6	-0.9000442006216379	1.8597110652486677	-0.5532899209817042	1.9805631343341505
16	4670	273.15444122075064	6980000.0	252053.73	-1.897128926180349	2.783079435751233	-0.9478794706678966	2.221433902855023
17	4856	274.12057111990975	12464114.0	252063.95	-1.4357366854199627	2.97499849871167	-0.9813198030353538	2.6683290246871265
18	6225	281.7591891779179	6696257.0	231259.9	-3.6513130934411233	3.865829611254919	-0.9384085515550772	4.27945451302353
19	6290	282.143423256509	8770144.0	273217.75	-1.9231097488859652	2.965298894135797	-0.9074850316486891	2.688043950593034
20	6457	283.1387080237429	17243744.0	275756.1	-1.5386039518748416	3.331086253560069	-0.9542655140787837	3.0944286469513074
21	6583	283.7956761625911	25176418.0	273516.47	-3.138701273843396	4.77415401770366	-0.9794459964631531	6.2676170118766255
22	6586	283.83123963267957	6277895.5	231487.42	-2.4511014217736995	2.838965613573582	-0.8097546447295743	2.627575214225723
23	6800	285.1542918597081	28864402.0	272581.53	-1.7514603920137364	3.9836910822955276	-0.9881031228921149	2.873694306728722
24	6810	285.1906316712873	45699228.0	268972.97	-1.1349905654605266	4.005419699631223	-0.9639807385871163	2.4956444700560168
25	6854	285.39959592730906	13343537.0	261821.53	-1.9779501601108227	3.28720851492038	-0.8983806164619749	1.918623420069699
26	7018	286.3325733028112	21297548.0	266362.06	-3.055414413232823	4.542689391017952	-0.9954345798868984	6.3169382412736805
27	7448	288.86960870644685	21716058.0	267226.28	-3.198556747871854	4.639766605086005	-0.9985588310296565	6.277806715829608
28	7455	288.90523984787353	5223980.5	274537.78	-2.2424083568667745	2.701694510927048	-0.934340194944537	2.16027948815326
29	7672	290.1154033569501	38939710.0	267263.72	-0.8607518509654494	3.6493908423135246	-0.9187533063027223	2.055646117280344
30	8072	292.4078125066946	21547254.0	242226.47	-3.819130953431557	4.995052536827304	-0.9965415294370339	9.087236373065902
31	8537	294.94462418934916	26670012.0	243114.58	-3.2606312176735543	4.879849464704957	-0.9870883074283587	11.263297025107088
32	8545	294.9803878056201	6161439.0	257415.86	-2.751150118553402	3.1335321247255146	-0.8807383331672078	3.0564725168538147
33	8555	295.016252402753	5315798.5	215247.83	-2.9101616786060602	3.1376110018662384	-0.9765995516704116	2.3193113945063106
34	8753	296.1952641245279	11501643.0	268487.53	-1.5424934995057988	2.902119433355358	-0.9442022699319718	2.020568483973917
35	8902	297.1540430859136	13425011.0	269515.34	-1.1287862432745832	2.8102517343124553	-0.9449007764866199	2.5305852938656073
36	8910	297.1904476887763	9618420.0	267581.5	-2.060848624179525	3.1227013964436203	-0.9792369726025386	2.230430528030711
37	9128	298.4827505268321	14749704.0	265754.06	-2.9432724239279837	4.110355315373253	-0.9915117447335574	5.343234501296362
38	9237	299.16964687121526	15421106.0	253953.66	-1.3516774102834128	3.1597258293858292	-0.9400510513526652	3.4331384294487783
39	9390	300.13598459863385	46110970.0	267639.56	-1.272057689065231	4.13221019697763	-0.9954914808065116	2.579576479879619
40	9394	300.153715783206	25128392.0	278926.1	-1.1161573227864523	3.423535043304263	-0.9553244934382807	2.2036589393843387
41	9539	301.0197929474283	8804981.0	224736.11	-3.551831961952247	3.9345122153765777	-0.9794495096561927	3.6523571845085026
42	9560	301.1489617267352	50627290.0	268852.94	-1.1686279452239927	4.152867898440425	-0.9930664075288786	2.4145375062846464
43	9916	303.2516707725856	438607970.0	271806.88	0.03956593846107486	5.398351089804098	0.9822215011119633	0.9640175939011437
44	10054	304.1638390916736	6590902.0	261885.36	-1.7965825068165537	2.450646899036802	-0.8785515795581245	1.0714379911768903
45	10860	309.3261175692626	6796779.0	225818.08	-1.7044672077401661	2.42835417735673	-0.8200129506666376	2.1841074170033545
46	10978	310.16626598384437	8863190.0	249773.53	-1.6202587460122488	2.6247089237243673	-0.8683411685689537	1.985400225172807
47	11118	311.16957795301937	48649170.0	264683.28	-1.090990728543706	4.057037209120697	-0.9918592105037983	2.156400173280425
