	index	m/z	Intensity	resolution	Slope	Intercept	RSquare	Ratio
0	4	254.13759932198144	7421697.5	271446.2	-2.8268110627671303	3.273985452404996	-0.9680954991686626	2.0847383746026904
1	5	254.1488012234205	33566020.0	282548.1	-2.3144861599082036	4.5113992820588695	-0.9939718974761068	3.785196325926693
2	8	255.63839172018834	5110428.5	278429.8	-1.4682585297470514	2.0609935300283064	-0.9300316152556816	1.6196865142084054
3	9	256.1643926864483	10019254.0	263222.9	-2.2513297080560646	3.303584704465724	-0.9894020515001346	5.0217260134551385
4	10	258.1435504062896	5603907.0	267550.25	-2.2134980045678576	2.614261278004561	-0.7979526440395045	2.7967070281614097
5	11	258.88409788487513	18790892.0	307622.2	-2.0301560902018165	3.738175053389075	-0.9828713286072609	3.3474703816341895
6	17	262.1171138722636	5608522.5	236521.4	-0.6910055501149425	1.695080037623876	-0.6488263127856555	1.5882954784117116
7	25	270.1434775488418	19506802.0	273567.22	-2.1216774260732842	3.8209677596637395	-0.9813319357479348	3.768313434047661
8	26	270.1796985598595	10206355.0	278898.5	-2.643772309922152	3.456575109323133	-0.9405563607300073	3.4775610151929714
9	28	271.17498116775437	9424270.0	265945.7	-1.737180826159829	2.8993846252676923	-0.9239242320548333	4.330167206273701
10	29	272.15908418748404	7848307.0	258724.92	-2.641831278612518	3.2580635158264712	-0.9268378997231016	3.1725351114206153
11	31	272.6549974823109	6446507.0	215784.53	-1.0194017266128237	1.8486684460999379	-0.3189428383544979	0.7005494575528545
12	40	284.19514213889136	5170043.0	224700.31	-2.0116709651820535	2.481429666534214	-0.958611693486589	2.1100214364938217
13	44	286.13799650239	11028467.0	242369.11	-3.0143405286862666	3.8029255236763655	-0.9624619281334891	4.306724168121393
14	49	288.0809465011284	16356143.0	266840.7	-1.8499953871293242	3.4589410248086874	-0.9667117447742182	2.692955001483658
15	50	288.15380622525095	6122018.0	248883.69	-2.5392355996984532	2.9720316291663273	-0.9939761005800009	3.4730821449870852
16	58	298.2105600595534	6945245.5	231129.45	-1.6421219210217113	2.371594401239216	-0.7651586632763695	1.9549108393157455
